date,total_stablecoin_supply,total_stablecoin_supply_change_7d,total_stablecoin_supply_change_30d,total_stablecoin_supply_change_90d,total_stablecoin_supply_pct_change_30d,total_stablecoin_supply_pct_change_90d,total_stablecoin_supply_zscore_252d,total_stablecoin_supply_slope_30d,total_stablecoin_supply_slope_90d,usdt_supply,usdc_supply,usdt_supply_change_30d,usdt_supply_change_90d,usdc_supply_change_30d,usdc_supply_change_90d,usdt_dominance,usdc_dominance,usdt_history_available,usdc_history_available,stablecoin_liquidity_score
2020-10-10,19930149740.0,497575180.0,2932842481.0,8178095886.0,0.17254747686267025,0.695886522270867,2.056449394188612,2932842481.0,8178095886.0,,,,,,,,,False,False,
2020-10-11,19989315225.0,510834982.0,2893513693.0,8244899443.0,0.16925288279604245,0.7020272098707958,2.0459752135745517,2893513693.0,8244899443.0,,,,,,,,,False,False,
2020-10-12,20011265273.0,510138168.0,2820365625.0,8249718986.0,0.16406154900265046,0.7014144896167598,2.027559855557056,2820365625.0,8249718986.0,,,,,,,,,False,False,
2020-10-13,20037440721.0,518347525.0,2773315846.0,8283395756.0,0.16064039539102315,0.7047272475701305,2.010539991932873,2773315846.0,8283395756.0,,,,,,,,,False,False,
2020-10-14,20005951707.0,451506829.0,2412293570.0,8211812779.0,0.1371115404889489,0.6962621713319537,1.981412075515785,2412293570.0,8211812779.0,,,,,,,,,False,False,
2020-10-15,19992629635.0,419537558.0,3258433222.0,8181994270.0,0.1947170417737345,0.6927649543941365,1.9570023538914179,3258433222.0,8181994270.0,,,,,,,,,False,False,
2020-10-16,19982154567.0,135089509.0,2101281602.0,8152415837.0,0.1175156048652124,0.6891458909676191,1.9338225262411943,2101281602.0,8152415837.0,,,,,,,,,False,False,
2020-10-17,19957812920.0,27663180.0,1824222175.0,8083514132.0,0.10059905953833193,0.680757177861238,1.9082475217513617,1824222175.0,8083514132.0,,,,,,,,,False,False,
2020-10-18,19950577459.0,-38737766.0,1587820306.0,8001558768.0,0.0864696021828395,0.6696414973412648,1.8869691957746537,1587820306.0,8001558768.0,,,,,,,,,False,False,
2020-10-19,19989708762.0,-21556511.0,1502146512.0,8071324154.0,0.08125173517671325,0.6772162855511703,1.8760921468333422,1502146512.0,8071324154.0,,,,,,,,,False,False,
2020-10-20,20122766889.0,85326168.0,1339773964.0,8167033856.0,0.07132909911373986,0.6831060741702328,1.8855281585145514,1339773964.0,8167033856.0,,,,,,,,,False,False,
2020-10-21,20451342126.0,445390419.0,1586932023.0,8374072426.0,0.08412306636334366,0.6933746313539724,1.9362389986405018,1586932023.0,8374072426.0,,,,,,,,,False,False,
2020-10-22,20543272392.0,550642757.0,1616443363.0,8359446589.0,0.08540486948570503,0.686110153260864,1.9355441969887255,1616443363.0,8359446589.0,,,,,,,,,False,False,
2020-10-23,20647854987.0,665700420.0,1695023995.0,8321125350.0,0.08943381575636233,0.6750472830217067,1.937496391908716,1695023995.0,8321125350.0,,,,,,,,,False,False,
2020-10-24,20628018270.0,670205350.0,1592408280.0,8276956002.0,0.08365417661091712,0.6701412252972376,1.913255262370753,1592408280.0,8276956002.0,,,,,,,,,False,False,
2020-10-25,20664207765.0,713630306.0,1556340732.0,8220614536.0,0.08145025969210185,0.6606302845742114,1.9013393861077474,1556340732.0,8220614536.0,,,,,,,,,False,False,
